Analysis no.,Stat. pos.,Eruption,controlcode_old,controlcode,Epoch,Analysis label,Date of analysis,NA2O,MGO,AL2O3,SIO2,K2O,CAO,TIO2,MNO,FEO,P2O5,Cl,F,Total
1,66,Monte Nuovo,0,0,,cf96_16,190110,6.40,0.22,18.50,56.27,7.07,1.74,0.42,0.27,2.89,220,8879,,94.68
2,66,Monte Nuovo,0,0,,cf96_5,190110,6.63,0.25,18.45,56.56,7.11,1.57,0.48,0.28,3.31,24,9413,,95.59
3,66,Monte Nuovo,0,0,,cf96_7,190110,6.89,0.23,18.23,57.21,7.12,1.68,0.41,0.21,2.85,268,8501,,95.69
4,66,Monte Nuovo,0,0,,cf96_10,190110,6.88,0.18,18.62,57.23,7.16,1.57,0.43,0.17,2.82,286,8704,,95.97
5,66,Monte Nuovo,0,0,,cf96_1,190110,6.97,0.21,18.52,57.15,7.26,1.78,0.42,0.12,2.79,355,8837,,96.13
6,66,Monte Nuovo,0,0,,cf96_2,190110,6.33,0.22,18.44,57.47,7.40,1.50,0.46,0.25,3.22,147,8546,,96.15
7,66,Monte Nuovo,0,0,,cf96_11,190110,6.69,0.22,18.98,57.88,7.51,1.65,0.43,0.23,2.73,0,8715,,97.19
8,66,Monte Nuovo,0,0,,cf96_9,190110,7.37,0.17,18.62,57.69,7.30,1.69,0.40,0.19,2.93,234,8287,,97.22
9,66,Monte Nuovo,0,0,,cf96_4,190110,7.32,0.20,18.94,57.98,7.12,1.72,0.44,0.31,2.75,359,8656,,97.68
10,66,Monte Nuovo,0,0,,cf96_12,190110,7.03,0.18,19.05,58.63,7.75,1.74,0.39,0.11,2.73,376,8373,,98.48
11,66,Monte Nuovo,0,0,,cf96_14,190110,6.97,0.21,19.35,59.22,7.37,1.72,0.44,0.20,2.84,319,9103,,99.27
12,63,Astroni 7,1,1,three-b,cf79_1,301009,4.26,0.64,18.86,59.63,9.09,2.84,0.49,0.08,3.52,1789,6584,1744,100.43
13,63,Astroni 7,1,1,three-b,cf79_2,301009,4.24,0.63,18.83,59.99,8.97,2.67,0.49,0.08,3.38,1028,6196,554,100.05
14,63,Astroni 7,1,1,three-b,cf79_3,301009,4.21,0.62,19.30,59.22,9.10,2.58,0.49,0.05,3.55,1650,6977,1728,100.14
15,63,Astroni 7,1,1,three-b,cf79_4,301009,4.19,0.64,19.44,58.44,8.95,2.55,0.49,0.12,3.65,943,5737,1576,99.30
16,63,Astroni 7,1,1,three-b,cf79_5,301009,4.38,0.62,19.43,59.55,9.04,2.68,0.49,0.09,3.41,1579,7554,1565,100.74
17,63,Astroni 7,1,1,three-b,cf79_6,301009,4.38,0.59,19.20,59.57,9.19,2.67,0.51,0.14,3.52,1286,7376,603,100.71
18,63,Astroni 7,1,1,three-b,cf79_8,301009,4.19,0.63,19.30,59.84,9.05,2.58,0.51,0.18,3.52,1013,6422,1675,100.72
19,63,Astroni 7,1,1,three-b,cf79_9,301009,4.27,0.67,19.41,59.14,8.91,2.68,0.49,0.03,3.37,1350,6629,1270,99.89
20,63,Astroni 7,1,1,three-b,cf79_10,301009,4.22,0.73,19.25,58.66,8.99,2.89,0.49,0.18,3.69,1943,6612,3311,100.28
21,63,Astroni 7,1,1,three-b,cf79_11,301009,4.19,0.72,19.54,58.13,9.03,2.78,0.46,0.16,3.71,1589,6575,595,99.60
22,63,Astroni 7,1,1,three-b,cf79_12,301009,4.53,0.71,19.10,59.14,9.01,2.86,0.46,0.07,3.54,1200,6323,1416,100.30
23,63,Astroni 7,1,1,three-b,cf79_13,301009,3.90,0.53,19.41,60.14,9.48,2.69,0.43,0.12,2.80,1094,5466,863,100.25
24,63,Astroni 7,1,1,three-b,cf79_14,301009,4.14,0.59,19.33,58.84,9.20,2.52,0.50,0.19,3.46,1731,6157,1991,99.76
25,63,Astroni 7,1,1,three-b,cf79_15,301009,4.40,0.64,19.32,59.49,8.86,2.63,0.52,0.03,3.64,1074,6738,59,100.31
