Analysis no.,Strat. Pos.,Eruption,controlcode,Sample,Epoch,Crater size,Date of analysis,Si/bulk cps,SiO2* (EMP),Sc,Rb,Sr,Y,Zr,Nb,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Pb,Th,U
1915,63,Astroni 7,1,79,three-b,20,100210am,20.21,59.27,0.14,356,565,29.06,353,63.16,22.42,635,71.94,126.34,13.40,51.09,7.87,1.91,7.32,1.06,5.87,1.11,3.26,0.47,2.80,0.43,7.84,2.96,60.93,35.02,9.20
1916,63,Astroni 7,1,79,three-b,20,100210am,11.92,59.27,0.12,367,477,29.56,359,61.27,25.06,629,73.47,122.56,13.41,50.27,8.62,2.22,7.99,0.98,5.72,1.08,2.27,0.46,3.14,0.46,7.33,3.52,59.89,34.46,10.46
1917,63,Astroni 7,1,79,three-b,20,100210am,17.06,59.27,0.34,293,564,39.45,349,54.17,18.19,769,78.15,144.51,17.93,68.82,13.41,2.78,10.60,1.38,8.33,1.25,3.69,0.61,3.51,0.63,8.43,3.05,49.87,29.22,8.73
1918,63,Astroni 7,1,79,three-b,20,100210am,24.52,59.27,0.27,345,587,34.96,354,61.50,22.02,863,74.70,139.98,15.95,59.54,12.28,2.65,9.40,1.35,6.11,1.24,3.72,0.46,3.04,0.44,8.95,3.08,59.59,30.71,9.79
1919,63,Astroni 7,1,79,three-b,20,100210am,14.35,59.27,0.16,352,593,28.37,331,61.97,21.86,875,72.37,125.19,13.80,51.16,8.40,1.91,6.64,0.92,5.46,1.08,2.68,0.46,2.79,0.41,7.24,2.67,60.70,32.13,9.01
1920,63,Astroni 7,1,79,three-b,20,100210am,17.69,59.27,0.14,337,621,27.42,347,63.13,21.71,933,74.97,129.47,14.15,52.28,9.20,1.80,7.48,0.95,5.43,1.11,3.25,0.48,2.78,0.56,7.33,3.37,59.37,34.26,9.97
1921,63,Astroni 7,1,79,three-b,20,100210am,12.83,59.27,0.14,360,442,30.31,374,64.31,23.91,506,74.42,129.91,14.28,52.71,9.44,1.52,6.76,1.04,6.17,0.83,2.95,0.42,2.96,0.46,8.26,3.44,61.26,36.34,10.41
1922,63,Astroni 7,1,79,three-b,20,100210am,15.10,59.27,0.12,349,442,29.55,377,63.57,23.70,518,75.77,130.38,14.23,53.11,7.74,1.95,7.76,1.00,5.95,1.14,3.12,0.35,2.95,0.50,8.39,3.53,61.60,36.82,10.50
1923,63,Astroni 7,1,79,three-b,20,100210am,18.62,59.27,0.13,366,457,29.91,381,67.50,24.77,527,77.05,130.76,14.25,50.64,8.44,1.79,7.92,1.02,5.20,1.01,2.89,0.65,3.02,0.54,8.79,3.65,65.15,37.71,10.51
1924,63,Astroni 7,1,79,three-b,20,100210am,19.54,59.27,0.15,368,507,31.29,396,66.39,24.11,620,81.10,137.96,15.04,58.31,8.60,1.79,8.48,0.95,4.96,1.26,3.05,0.59,3.04,0.47,8.22,3.45,61.56,37.74,10.90
