"watershed","elevation","stem_length","leaf_area","stem_dry_mass"
"Reference","Low",86.9,13.837,0.03
"Reference","Low",114,14.572,0.0338
"Reference","Low",83.5,12.451,0.0248
"Reference","Low",68.1,9.974,0.0194
"Reference","Low",72.1,6.838,0.018
"Reference","Low",77.7,9.66,0.0246
"Reference","Low",85.5,8.823,0.0316
"Reference","Low",81.6,5.831,0.015
"Reference","Low",92.9,8.108,0.0291
"Reference","Low",59.6,3.016,0.0149
"Reference","Low",63.8,5.818,0.0175
"Reference","Low",92.8,11.113,0.0276
"Reference","Low",76.2,11.112,0.028
"Reference","Low",54.3,10.016,0.0197
"Reference","Low",83.5,11.683,0.0329
"Reference","Low",77.4,10.122,0.0299
"Reference","Low",64.1,7.155,0.0213
"Reference","Low",66.6,13.665,0.0278
"Reference","Low",85.7,12.669,0.0326
"Reference","Low",103.3,11.114,0.0304
"Reference","Low",88.5,12.117,0.0277
"Reference","Low",77.7,8.335,0.0164
"Reference","Low",80.6,12.871,0.0309
"Reference","Low",85.2,14.879,0.0307
"Reference","Low",88.6,6.474,0.026
"Reference","Low",72.9,6.804,0.0146
"Reference","Low",80,9.071,0.0213
"Reference","Low",87,7.508,0.0158
"Reference","Low",64.3,5.33,0.0158
"Reference","Low",87,12.717,0.0335
"Reference","Low",107.8,11.787,0.0212
"Reference","Low",64.6,5.2,0.0111
"Reference","Low",52.7,8.254,0.0125
"Reference","Low",80.2,6.317,0.015
"Reference","Low",104.1,12.298,0.0437
"Reference","Low",105.4,17.087,0.0289
"Reference","Low",107,4.404,0.0241
"Reference","Low",80,4.508,0.0154
"Reference","Low",85.4,14.166,0.0326
"Reference","Low",82,7.192,0.0152
"Reference","Low",99.2,7.61,0.0225
"Reference","Low",99.1,10.287,0.0185
"Reference","Low",68.5,11.165,0.0217
"Reference","Low",66.3,7.935,0.0205
"Reference","Low",69.8,12.192,0.0252
"Reference","Low",79.4,11.277,0.0174
"Reference","Low",71.4,14.308,0.0261
"Reference","Low",83.3,9.899,0.0225
"Reference","Low",67.6,8.379,0.0214
"Reference","Low",65.2,9.288,0.0239
"Reference","Low",76.2,9.444,0.0224
"Reference","Low",71.5,11.723,0.019
"Reference","Low",73.8,10.576,0.0232
