"","section","species","weight_g"
"1","CC","Coastal giant salamander",3.9
"2","CC","Coastal giant salamander",4.3
"3","CC","Coastal giant salamander",6.3
"4","CC","Coastal giant salamander",7.8
"5","CC","Coastal giant salamander",16.1
"6","CC","Coastal giant salamander",8.9
"7","CC","Coastal giant salamander",14.6
"8","CC","Coastal giant salamander",19.8
"9","CC","Coastal giant salamander",10.1
"10","CC","Coastal giant salamander",73.2
"11","CC","Coastal giant salamander",17.7
"12","CC","Coastal giant salamander",15.3
"13","CC","Coastal giant salamander",16.6
"14","CC","Coastal giant salamander",5.1
"15","CC","Coastal giant salamander",4.9
"16","CC","Coastal giant salamander",6
"17","CC","Coastal giant salamander",5.3
"18","CC","Coastal giant salamander",2.1
"19","CC","Coastal giant salamander",2.5
"20","CC","Coastal giant salamander",4.8
"21","CC","Coastal giant salamander",5.7
"22","CC","Coastal giant salamander",5.3
"23","CC","Coastal giant salamander",4.8
"24","CC","Coastal giant salamander",1.3
"25","CC","Coastal giant salamander",3.8
"26","CC","Coastal giant salamander",9.3
"27","CC","Coastal giant salamander",8.4
"28","CC","Coastal giant salamander",7.3
"29","CC","Coastal giant salamander",6.4
"30","CC","Coastal giant salamander",14.7
"31","CC","Coastal giant salamander",18.7
"32","CC","Coastal giant salamander",4.4
"33","CC","Coastal giant salamander",0.9
"34","CC","Coastal giant salamander",6.2
"35","CC","Coastal giant salamander",6.1
"36","CC","Coastal giant salamander",3.3
"37","CC","Coastal giant salamander",1.3
"38","CC","Coastal giant salamander",2.7
"39","CC","Coastal giant salamander",7.2
"40","CC","Coastal giant salamander",6.3
"41","CC","Coastal giant salamander",7
"42","CC","Coastal giant salamander",12.8
"43","CC","Coastal giant salamander",9.5
"44","CC","Coastal giant salamander",11.2
"45","CC","Coastal giant salamander",44.5
"46","CC","Coastal giant salamander",0.8
"47","CC","Coastal giant salamander",6.2
"48","CC","Coastal giant salamander",4.4
"49","CC","Coastal giant salamander",16.9
"50","CC","Coastal giant salamander",10.8
"51","CC","Coastal giant salamander",14.9
"52","CC","Coastal giant salamander",13.4
"53","CC","Coastal giant salamander",11.4
"54","CC","Coastal giant salamander",10.9
"55","CC","Coastal giant salamander",2.1
"56","CC","Coastal giant salamander",1.4
"57","CC","Coastal giant salamander",2.4
"58","CC","Coastal giant salamander",3.4
"59","CC","Coastal giant salamander",3.2
"60","CC","Coastal giant salamander",3.8
"61","CC","Coastal giant salamander",5.5
"62","CC","Coastal giant salamander",10.3
"63","CC","Coastal giant salamander",3.7
"64","CC","Coastal giant salamander",4
"65","CC","Coastal giant salamander",3.3
"66","CC","Coastal giant salamander",3.8
"67","CC","Coastal giant salamander",6
"68","CC","Coastal giant salamander",12.2
"69","CC","Coastal giant salamander",8.6
"70","CC","Coastal giant salamander",6.3
"71","CC","Coastal giant salamander",7.8
"72","CC","Coastal giant salamander",3.7
"73","CC","Coastal giant salamander",3.9
"74","CC","Coastal giant salamander",5.5
"75","CC","Coastal giant salamander",4.8
"76","CC","Coastal giant salamander",18.6
"77","CC","Coastal giant salamander",15.9
"78","CC","Coastal giant salamander",9.2
"79","CC","Coastal giant salamander",14.7
"80","CC","Coastal giant salamander",9.1
"81","CC","Coastal giant salamander",8.5
"82","CC","Coastal giant salamander",8.4
"83","CC","Coastal giant salamander",8.5
"84","CC","Coastal giant salamander",12.7
"85","CC","Coastal giant salamander",9.8
"86","CC","Coastal giant salamander",62
"87","CC","Coastal giant salamander",12.1
"88","CC","Coastal giant salamander",5
"89","CC","Coastal giant salamander",1.9
"90","CC","Coastal giant salamander",7.9
"91","CC","Coastal giant salamander",9.6
"92","CC","Coastal giant salamander",13.9
"93","CC","Coastal giant salamander",11.3
"94","CC","Coastal giant salamander",10.2
"95","CC","Coastal giant salamander",5.6
"96","CC","Coastal giant salamander",7.8
"97","CC","Coastal giant salamander",4.1
"98","CC","Coastal giant salamander",3.9
"99","CC","Coastal giant salamander",4.1
"100","CC","Coastal giant salamander",4.2
"101","CC","Coastal giant salamander",2.5
"102","CC","Coastal giant salamander",2.1
"103","CC","Coastal giant salamander",2.6
"104","CC","Coastal giant salamander",3
"105","CC","Coastal giant salamander",2.2
"106","CC","Coastal giant salamander",3
"107","CC","Coastal giant salamander",2.9
"108","CC","Coastal giant salamander",13.8
"109","CC","Coastal giant salamander",13.1
"110","CC","Coastal giant salamander",8.6
"111","CC","Coastal giant salamander",9
"112","CC","Coastal giant salamander",6.2
"113","CC","Coastal giant salamander",4.2
"114","CC","Coastal giant salamander",3.8
"115","CC","Coastal giant salamander",1.6
"116","CC","Coastal giant salamander",2.7
"117","CC","Coastal giant salamander",5.8
"118","CC","Coastal giant salamander",2.2
"119","CC","Coastal giant salamander",1.3
"120","CC","Coastal giant salamander",4.4
"121","CC","Coastal giant salamander",1.9
"122","CC","Coastal giant salamander",1.5
"123","CC","Coastal giant salamander",6.4
"124","CC","Coastal giant salamander",4.1
"125","CC","Coastal giant salamander",5.7
"126","CC","Coastal giant salamander",2.7
"127","CC","Coastal giant salamander",3.4
"128","CC","Coastal giant salamander",6.8
"129","CC","Coastal giant salamander",5.4
"130","CC","Coastal giant salamander",7.1
"131","CC","Coastal giant salamander",40
"132","CC","Coastal giant salamander",21.5
"133","CC","Coastal giant salamander",16.6
"134","CC","Coastal giant salamander",12.2
"135","CC","Coastal giant salamander",13.7
"136","CC","Coastal giant salamander",9.6
"137","CC","Coastal giant salamander",10.2
"138","CC","Coastal giant salamander",11.7
"139","CC","Coastal giant salamander",10.3
"140","CC","Coastal giant salamander",11.9
"141","CC","Coastal giant salamander",11.1
"142","CC","Coastal giant salamander",9.6
"143","CC","Coastal giant salamander",12
"144","CC","Coastal giant salamander",5.9
"145","CC","Coastal giant salamander",7.5
"146","CC","Coastal giant salamander",1.2
"147","CC","Coastal giant salamander",6.6
"148","CC","Coastal giant salamander",9.7
